epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0232,3.54005,3.14609,3.03769,0.13958,0.18028,0.12315,0.05538,2.08813,5.71563,2.11468,0.000474515,0.000474515,0.000474515
2,40.7622,1.9186,1.46702,1.57725,0.93125,0.24898,0.30731,0.14688,1.7793,1.23097,1.52904,0.000932022,0.000932022,0.000932022
3,59.1252,1.73092,1.27549,1.40683,0.61484,0.26694,0.35872,0.19681,1.5495,1.10065,1.37199,0.00137067,0.00137067,0.00137067
4,77.0382,1.62284,1.17555,1.32535,0.63104,0.36102,0.35508,0.18855,1.60346,1.11092,1.36704,0.00134412,0.00134412,0.00134412
5,94.3472,1.54187,1.08271,1.27832,0.66349,0.37316,0.37992,0.21,1.51129,1.01391,1.31425,0.00131582,0.00131582,0.00131582
6,111.541,1.50381,1.05001,1.24819,0.71408,0.34027,0.37229,0.21518,1.45696,1.13402,1.27606,0.00128753,0.00128753,0.00128753
7,128.848,1.51834,1.02862,1.2545,0.72042,0.42228,0.43027,0.24365,1.50385,0.91843,1.29359,0.00125923,0.00125923,0.00125923
8,146.318,1.45792,0.97643,1.22966,0.73243,0.44665,0.45262,0.24831,1.48294,0.86753,1.29008,0.00123094,0.00123094,0.00123094
9,163.508,1.45276,0.97527,1.21918,0.68237,0.43332,0.44398,0.25501,1.46483,0.89335,1.28311,0.00120265,0.00120265,0.00120265
10,180.741,1.42953,0.94445,1.2052,0.76671,0.44312,0.46444,0.26818,1.4299,0.86758,1.25393,0.00117435,0.00117435,0.00117435
11,197.968,1.39433,0.91249,1.19107,0.68814,0.41747,0.42773,0.24564,1.40799,0.89167,1.24395,0.00114606,0.00114606,0.00114606
12,215.306,1.40272,0.89639,1.18685,0.75017,0.4447,0.46887,0.27581,1.39117,0.83503,1.23047,0.00111776,0.00111776,0.00111776
13,232.399,1.37989,0.87814,1.16881,0.75547,0.44845,0.48138,0.28412,1.4161,0.81845,1.24475,0.00108947,0.00108947,0.00108947
14,250.149,1.38162,0.86723,1.18151,0.78967,0.44567,0.49773,0.29481,1.42348,0.82065,1.24323,0.00106118,0.00106118,0.00106118
15,267.819,1.35763,0.85057,1.16599,0.77964,0.45788,0.48543,0.28981,1.38496,0.79213,1.2192,0.00103288,0.00103288,0.00103288
16,285.558,1.34576,0.85158,1.16029,0.79844,0.44327,0.49308,0.28828,1.37923,0.793,1.22737,0.00100459,0.00100459,0.00100459
17,303.248,1.34667,0.84736,1.16009,0.77151,0.4416,0.46905,0.281,1.36531,0.77807,1.20756,0.000976293,0.000976293,0.000976293
18,321.298,1.3339,0.8248,1.15182,0.79214,0.45072,0.48576,0.29348,1.36404,0.7822,1.22257,0.000947999,0.000947999,0.000947999
19,339.165,1.33934,0.81727,1.15141,0.81242,0.44824,0.5032,0.30567,1.35622,0.75889,1.2045,0.000919704,0.000919704,0.000919704
20,356.712,1.33151,0.82385,1.15201,0.79592,0.46436,0.50502,0.30285,1.36317,0.76099,1.21341,0.00089141,0.00089141,0.00089141
21,374.216,1.31111,0.80783,1.14763,0.80111,0.4545,0.49451,0.30411,1.36427,0.75616,1.21065,0.000863116,0.000863116,0.000863116
22,392.336,1.32811,0.80889,1.15101,0.76915,0.48932,0.50273,0.29775,1.37382,0.77083,1.21921,0.000834822,0.000834822,0.000834822
23,410.163,1.32592,0.80493,1.14342,0.79992,0.48524,0.52379,0.32461,1.35533,0.73887,1.21862,0.000806528,0.000806528,0.000806528
24,428.385,1.31084,0.79158,1.1437,0.7962,0.47152,0.52728,0.32611,1.3244,0.73024,1.18887,0.000778233,0.000778233,0.000778233
25,445.972,1.30037,0.78613,1.14338,0.82403,0.47329,0.51368,0.30788,1.34914,0.7311,1.20127,0.000749939,0.000749939,0.000749939
26,463.503,1.30369,0.77895,1.14272,0.83635,0.4476,0.50526,0.30968,1.34299,0.73632,1.19769,0.000721645,0.000721645,0.000721645
27,480.901,1.29755,0.79589,1.1445,0.79232,0.47804,0.50465,0.30502,1.3469,0.74388,1.19949,0.000693351,0.000693351,0.000693351
28,498.196,1.28577,0.77027,1.12435,0.82711,0.46405,0.51783,0.31229,1.35961,0.738,1.21539,0.000665057,0.000665057,0.000665057
29,515.678,1.2919,0.75884,1.13076,0.82967,0.47269,0.52405,0.31558,1.33846,0.71382,1.20161,0.000636762,0.000636762,0.000636762
30,533.115,1.29528,0.77683,1.1327,0.79869,0.47881,0.52664,0.32392,1.33524,0.71922,1.19522,0.000608468,0.000608468,0.000608468
31,550.38,1.28723,0.77583,1.13091,0.79446,0.47729,0.50649,0.31519,1.3344,0.73966,1.19925,0.000580174,0.000580174,0.000580174
32,567.647,1.26814,0.74857,1.11418,0.80171,0.4591,0.517,0.3092,1.35257,0.72472,1.20502,0.00055188,0.00055188,0.00055188
33,585.382,1.27082,0.73665,1.12226,0.80697,0.4843,0.52292,0.31827,1.31479,0.70002,1.18516,0.000523586,0.000523586,0.000523586
34,603.037,1.25318,0.73735,1.11299,0.81697,0.48543,0.54931,0.34303,1.31435,0.69762,1.18633,0.000495291,0.000495291,0.000495291
35,629.622,1.27018,0.73694,1.1149,0.82497,0.47488,0.53291,0.32884,1.31857,0.69723,1.1902,0.000466997,0.000466997,0.000466997
36,647.561,1.26691,0.73135,1.11218,0.8095,0.47017,0.52221,0.31611,1.32665,0.71293,1.1916,0.000438703,0.000438703,0.000438703
37,664.934,1.27747,0.73443,1.14117,0.81083,0.51121,0.53241,0.32664,1.31875,0.70245,1.18494,0.000410409,0.000410409,0.000410409
38,682.416,1.26108,0.72897,1.11248,0.82342,0.49534,0.53439,0.32772,1.30742,0.69409,1.17947,0.000382115,0.000382115,0.000382115
39,699.626,1.26411,0.74008,1.12171,0.80828,0.49559,0.54024,0.33451,1.31216,0.69662,1.18368,0.00035382,0.00035382,0.00035382
40,716.89,1.25902,0.73127,1.11255,0.82132,0.49866,0.53666,0.32896,1.31386,0.69198,1.18375,0.000325526,0.000325526,0.000325526
41,747.019,1.24534,0.73537,1.14555,0.8308,0.49581,0.54328,0.33685,1.31082,0.68214,1.17884,0.000297232,0.000297232,0.000297232
42,763.83,1.24209,0.7187,1.15019,0.8131,0.512,0.54169,0.3299,1.30557,0.679,1.18126,0.000268938,0.000268938,0.000268938
43,780.621,1.23492,0.71696,1.13966,0.81667,0.51304,0.5517,0.34522,1.2883,0.67782,1.16855,0.000240644,0.000240644,0.000240644
44,797.173,1.23906,0.70786,1.13749,0.82756,0.50072,0.55371,0.34045,1.30839,0.67645,1.18446,0.000212349,0.000212349,0.000212349
45,813.939,1.23459,0.70112,1.13485,0.85225,0.48699,0.53923,0.33894,1.29478,0.6714,1.17097,0.000184055,0.000184055,0.000184055
46,830.876,1.22912,0.70942,1.13698,0.82558,0.5083,0.54197,0.33692,1.31178,0.67774,1.18299,0.000155761,0.000155761,0.000155761
47,847.76,1.22194,0.69088,1.14127,0.83881,0.50071,0.55472,0.34304,1.30193,0.67051,1.17327,0.000127467,0.000127467,0.000127467
48,864.406,1.2192,0.68976,1.1343,0.82779,0.50778,0.54461,0.34022,1.29162,0.66963,1.1729,9.91726e-05,9.91726e-05,9.91726e-05
49,881.334,1.21521,0.69008,1.13459,0.83624,0.51494,0.55737,0.34475,1.29735,0.66655,1.17395,7.08784e-05,7.08784e-05,7.08784e-05
50,898.931,1.2187,0.68467,1.13301,0.86094,0.49778,0.55722,0.34808,1.29134,0.65996,1.16797,4.25842e-05,4.25842e-05,4.25842e-05
